timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/16 20:51:49.736, [N/A], 93 MiB, 95227 MiB, 30
2026/03/16 20:51:49.743, [N/A], 93 MiB, 95227 MiB, 30
2026/03/16 20:51:49.748, [N/A], 93 MiB, 80987 MiB, 27
2026/03/16 20:51:49.753, [N/A], 93 MiB, 80987 MiB, 25
2026/03/16 20:51:49.758, [N/A], 68 MiB, 95252 MiB, 29
2026/03/16 20:51:49.763, 0 %, 88385 MiB, 6935 MiB, 31
2026/03/16 20:51:49.766, 100 %, 93703 MiB, 1617 MiB, 56
2026/03/16 20:51:49.771, 62 %, 10079 MiB, 85241 MiB, 41
2026/03/16 20:52:49.775, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:52:49.776, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:52:49.777, [N/A], 93 MiB, 80987 MiB, 28
2026/03/16 20:52:49.777, [N/A], 93 MiB, 80987 MiB, 26
2026/03/16 20:52:49.778, [N/A], 68 MiB, 95252 MiB, 30
2026/03/16 20:52:49.779, 0 %, 88385 MiB, 6935 MiB, 32
2026/03/16 20:52:49.779, 100 %, 93703 MiB, 1617 MiB, 56
2026/03/16 20:52:49.779, 47 %, 10079 MiB, 85241 MiB, 41
2026/03/16 20:53:49.779, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:53:49.780, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:53:49.781, [N/A], 93 MiB, 80987 MiB, 28
2026/03/16 20:53:49.781, [N/A], 93 MiB, 80987 MiB, 26
2026/03/16 20:53:49.782, [N/A], 68 MiB, 95252 MiB, 30
2026/03/16 20:53:49.782, 0 %, 88385 MiB, 6935 MiB, 32
2026/03/16 20:53:49.782, 100 %, 93703 MiB, 1617 MiB, 56
2026/03/16 20:53:49.782, 58 %, 10079 MiB, 85241 MiB, 43
2026/03/16 20:54:49.783, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:54:49.784, [N/A], 93 MiB, 95227 MiB, 31
2026/03/16 20:54:49.785, [N/A], 93 MiB, 80987 MiB, 28
2026/03/16 20:54:49.785, [N/A], 93 MiB, 80987 MiB, 27
2026/03/16 20:54:49.786, [N/A], 68 MiB, 95252 MiB, 30
