timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/14 17:59:10.697, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 17:59:10.697, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 17:59:10.698, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:00:10.698, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:00:10.699, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:00:10.700, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:00:10.700, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:00:10.701, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:00:10.702, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:01:10.702, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:01:10.703, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:01:10.704, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:01:10.704, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:01:10.705, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:01:10.705, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:01:10.706, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:01:10.706, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:02:10.706, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:02:10.707, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:02:10.707, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:02:10.708, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:02:10.709, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:02:10.709, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:03:10.710, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:03:10.711, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:03:10.711, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:03:10.712, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:03:10.712, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:03:10.713, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:04:10.714, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:04:10.715, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:04:10.715, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:04:10.716, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:04:10.716, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:04:10.717, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:05:10.718, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:05:10.718, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:05:10.719, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:05:10.720, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:05:10.721, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:05:10.722, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:06:10.722, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:06:10.723, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:06:10.724, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:06:10.724, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:06:10.725, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:06:10.726, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:07:10.726, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:07:10.727, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:07:10.728, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:07:10.728, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:07:10.729, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:07:10.729, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:07:10.730, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:07:10.730, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:08:10.730, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:08:10.731, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:08:10.732, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:08:10.732, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:08:10.733, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:08:10.733, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:08:10.733, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:08:10.733, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:09:10.734, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:09:10.735, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:09:10.735, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:09:10.736, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:09:10.737, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:09:10.737, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:09:10.737, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:09:10.737, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:10:10.738, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:10:10.739, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:10:10.739, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:10:10.740, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:10:10.740, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:10:10.741, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:10:10.741, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:10:10.741, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:11:10.742, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:11:10.743, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:11:10.743, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:11:10.744, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:11:10.744, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:11:10.745, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 18:11:10.745, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:11:10.745, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:12:10.746, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:12:10.746, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:12:10.747, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:12:10.748, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:12:10.748, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:12:10.749, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:12:10.749, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:12:10.749, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:13:10.749, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:13:10.750, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:13:10.751, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:13:10.751, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:13:10.752, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:13:10.753, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:13:10.753, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:13:10.753, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:14:10.753, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:14:10.754, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:14:10.755, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:14:10.755, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:14:10.756, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:14:10.756, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:14:10.756, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:14:10.757, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:15:10.757, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:15:10.758, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:15:10.758, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:15:10.759, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:15:10.760, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:15:10.760, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:15:10.760, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:15:10.760, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:16:10.761, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:16:10.762, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:16:10.762, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:16:10.763, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:16:10.764, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:16:10.764, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:16:10.764, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:16:10.764, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:17:10.765, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:17:10.766, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:17:10.766, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:17:10.767, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:17:10.768, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:17:10.768, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 18:17:10.768, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:17:10.768, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:18:10.769, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:18:10.770, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:18:10.770, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:18:10.771, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:18:10.771, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:18:10.772, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:18:10.772, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:18:10.772, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:19:10.773, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:19:10.774, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:19:10.774, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:19:10.775, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:19:10.775, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:19:10.776, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:19:10.776, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:19:10.776, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:20:10.777, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:20:10.777, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:20:10.778, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:20:10.778, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:20:10.779, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:20:10.780, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:20:10.780, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:20:10.780, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:21:10.780, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:21:10.781, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:21:10.782, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:21:10.782, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:21:10.783, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:21:10.784, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:21:10.784, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:21:10.784, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:22:10.784, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:22:10.785, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:22:10.786, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:22:10.786, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:22:10.787, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:22:10.787, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:22:10.788, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:22:10.788, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:23:10.788, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:23:10.789, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:23:10.790, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:23:10.790, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:23:10.791, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:23:10.791, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:23:10.791, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:23:10.791, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:24:10.792, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:24:10.793, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:24:10.794, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:24:10.794, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:24:10.795, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:24:10.795, 0 %, 0 MiB, 95320 MiB, 22
2026/03/14 18:24:10.795, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:24:10.795, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:25:10.796, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:25:10.797, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:25:10.797, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:25:10.798, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:25:10.799, [N/A], 58 MiB, 95262 MiB, 22
2026/03/14 18:25:10.799, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:25:10.799, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:25:10.799, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:26:10.800, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:26:10.801, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:26:10.801, [N/A], 87 MiB, 80993 MiB, 19
2026/03/14 18:26:10.802, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:26:10.803, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:26:10.803, 0 %, 0 MiB, 95320 MiB, 21
2026/03/14 18:26:10.803, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:26:10.803, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:27:10.804, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:27:10.805, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:27:10.805, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:27:10.806, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:27:10.806, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:27:10.807, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:27:10.807, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:27:10.807, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:28:10.808, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:28:10.809, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:28:10.809, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:28:10.810, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:28:10.810, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:28:10.811, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:28:10.811, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:28:10.811, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:29:10.812, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:29:10.813, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:29:10.813, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:29:10.814, [N/A], 87 MiB, 80993 MiB, 17
2026/03/14 18:29:10.814, [N/A], 58 MiB, 95262 MiB, 21
2026/03/14 18:29:10.815, 0 %, 0 MiB, 95320 MiB, 20
2026/03/14 18:29:10.815, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:29:10.815, 0 %, 0 MiB, 95320 MiB, 19
2026/03/14 18:30:10.816, [N/A], 90 MiB, 95230 MiB, 22
2026/03/14 18:30:10.816, [N/A], 87 MiB, 95234 MiB, 22
2026/03/14 18:30:10.817, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:30:10.818, [N/A], 87 MiB, 80993 MiB, 18
2026/03/14 18:30:10.818, [N/A], 58 MiB, 95262 MiB, 21
