timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/21 02:11:30.767, [N/A], 27301 MiB, 68019 MiB, 26
2026/03/21 02:11:30.771, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:11:30.776, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:11:30.781, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:11:30.786, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:11:30.791, 58 %, 24939 MiB, 70381 MiB, 37
2026/03/21 02:11:30.795, 56 %, 42039 MiB, 53281 MiB, 51
2026/03/21 02:11:30.799, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:12:30.803, [N/A], 49642 MiB, 45679 MiB, 32
2026/03/21 02:12:30.804, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:12:30.805, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:12:30.805, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:12:30.806, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:12:30.806, 55 %, 24939 MiB, 70381 MiB, 36
2026/03/21 02:12:30.806, 56 %, 42039 MiB, 53281 MiB, 43
2026/03/21 02:12:30.806, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:13:30.807, [N/A], 50338 MiB, 44983 MiB, 33
2026/03/21 02:13:30.808, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:13:30.808, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:13:30.809, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:13:30.810, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:13:30.810, 56 %, 24939 MiB, 70381 MiB, 37
2026/03/21 02:13:30.810, 58 %, 42039 MiB, 53281 MiB, 42
2026/03/21 02:13:30.810, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:14:30.811, [N/A], 32321 MiB, 62999 MiB, 32
2026/03/21 02:14:30.811, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:14:30.812, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:14:30.812, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:14:30.813, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:14:30.814, 70 %, 25771 MiB, 69549 MiB, 40
2026/03/21 02:14:30.814, 97 %, 42039 MiB, 53281 MiB, 52
2026/03/21 02:14:30.814, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:15:30.815, [N/A], 32321 MiB, 62999 MiB, 32
2026/03/21 02:15:30.815, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:15:30.816, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:15:30.816, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:15:30.817, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:15:30.817, 63 %, 25771 MiB, 69549 MiB, 39
2026/03/21 02:15:30.818, 97 %, 42039 MiB, 53281 MiB, 53
2026/03/21 02:15:30.818, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:16:30.818, [N/A], 33049 MiB, 62271 MiB, 33
2026/03/21 02:16:30.819, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:16:30.820, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:16:30.820, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:16:30.821, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:16:30.821, 69 %, 25771 MiB, 69549 MiB, 40
2026/03/21 02:16:30.821, 97 %, 42039 MiB, 53281 MiB, 54
2026/03/21 02:16:30.821, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:17:30.823, [N/A], 49916 MiB, 45405 MiB, 35
2026/03/21 02:17:30.823, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:17:30.824, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:17:30.825, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:17:30.825, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:17:30.826, 72 %, 25771 MiB, 69549 MiB, 41
2026/03/21 02:17:30.826, 96 %, 42039 MiB, 53281 MiB, 54
2026/03/21 02:17:30.826, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:18:30.827, [N/A], 29493 MiB, 65827 MiB, 33
2026/03/21 02:18:30.827, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:18:30.828, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:18:30.829, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:18:30.829, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:18:30.830, 62 %, 25771 MiB, 69549 MiB, 39
2026/03/21 02:18:30.830, 97 %, 42039 MiB, 53281 MiB, 54
2026/03/21 02:18:30.830, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:19:30.830, [N/A], 30221 MiB, 65099 MiB, 32
2026/03/21 02:19:30.831, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:19:30.831, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 02:19:30.832, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:19:30.833, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:19:30.833, 71 %, 25771 MiB, 69549 MiB, 41
2026/03/21 02:19:30.833, 56 %, 42039 MiB, 53281 MiB, 48
2026/03/21 02:19:30.833, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:20:30.834, [N/A], 56250 MiB, 39071 MiB, 36
2026/03/21 02:20:30.835, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:20:30.835, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 02:20:30.836, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:20:30.837, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:20:30.837, 72 %, 25771 MiB, 69549 MiB, 41
2026/03/21 02:20:30.837, 54 %, 42039 MiB, 53281 MiB, 43
2026/03/21 02:20:30.837, 100 %, 89748 MiB, 5572 MiB, 43
2026/03/21 02:21:30.838, [N/A], 51176 MiB, 44145 MiB, 36
2026/03/21 02:21:30.839, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:21:30.839, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 02:21:30.840, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:21:30.840, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:21:30.841, 62 %, 25771 MiB, 69549 MiB, 40
2026/03/21 02:21:30.841, 59 %, 42039 MiB, 53281 MiB, 42
2026/03/21 02:21:30.841, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:22:30.841, [N/A], 27301 MiB, 68019 MiB, 33
2026/03/21 02:22:30.842, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:22:30.844, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:22:30.845, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:22:30.846, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:22:30.847, 63 %, 25771 MiB, 69549 MiB, 38
2026/03/21 02:22:30.847, 97 %, 42039 MiB, 53281 MiB, 52
2026/03/21 02:22:30.847, 100 %, 89748 MiB, 5572 MiB, 41
2026/03/21 02:23:30.848, [N/A], 32321 MiB, 62999 MiB, 32
2026/03/21 02:23:30.848, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:23:30.849, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:23:30.849, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:23:30.850, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:23:30.850, 64 %, 25771 MiB, 69549 MiB, 38
2026/03/21 02:23:30.850, 97 %, 42039 MiB, 53281 MiB, 54
2026/03/21 02:23:30.850, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:24:30.851, [N/A], 33469 MiB, 61851 MiB, 33
2026/03/21 02:24:30.852, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:24:30.852, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 02:24:30.853, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:24:30.853, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:24:30.854, 62 %, 25771 MiB, 69549 MiB, 39
2026/03/21 02:24:30.854, 96 %, 42039 MiB, 53281 MiB, 55
2026/03/21 02:24:30.854, 100 %, 89748 MiB, 5572 MiB, 43
2026/03/21 02:25:30.855, [N/A], 30333 MiB, 64987 MiB, 33
2026/03/21 02:25:30.856, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:25:30.856, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 02:25:30.857, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:25:30.857, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:25:30.858, 62 %, 25771 MiB, 69549 MiB, 39
2026/03/21 02:25:30.858, 96 %, 42039 MiB, 53281 MiB, 54
2026/03/21 02:25:30.858, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:26:30.858, [N/A], 28961 MiB, 66359 MiB, 32
2026/03/21 02:26:30.859, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:26:30.859, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:26:30.860, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:26:30.860, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 02:26:30.861, 56 %, 25793 MiB, 69527 MiB, 38
2026/03/21 02:26:30.861, 96 %, 42039 MiB, 53281 MiB, 55
2026/03/21 02:26:30.861, 100 %, 89748 MiB, 5572 MiB, 42
