timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/19 22:52:03.056, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:52:03.056, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:52:03.057, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:52:03.057, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:52:03.057, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:52:03.057, 91 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:53:03.058, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 22:53:03.059, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:53:03.060, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:53:03.060, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:53:03.061, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 22:53:03.061, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:53:03.061, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 22:53:03.061, 100 %, 61783 MiB, 33538 MiB, 60
2026/03/19 22:54:03.063, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/19 22:54:03.063, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:54:03.064, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:54:03.064, [N/A], 93 MiB, 80987 MiB, 26
2026/03/19 22:54:03.065, [N/A], 68 MiB, 95252 MiB, 29
2026/03/19 22:54:03.065, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/19 22:54:03.065, 0 %, 4 MiB, 95317 MiB, 27
2026/03/19 22:54:03.066, 100 %, 61783 MiB, 33538 MiB, 61
2026/03/19 22:55:03.067, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/19 22:55:03.067, [N/A], 93 MiB, 95227 MiB, 31
2026/03/19 22:55:03.068, [N/A], 93 MiB, 80987 MiB, 28
2026/03/19 22:55:03.068, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:55:03.069, [N/A], 68 MiB, 95252 MiB, 30
2026/03/19 22:55:03.069, 98 %, 2025 MiB, 93295 MiB, 68
2026/03/19 22:55:03.069, 0 %, 4 MiB, 95317 MiB, 28
2026/03/19 22:55:03.069, 77 %, 61783 MiB, 33538 MiB, 60
2026/03/19 22:56:03.070, [N/A], 27305 MiB, 68016 MiB, 36
2026/03/19 22:56:03.070, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 22:56:03.071, [N/A], 93 MiB, 80987 MiB, 29
2026/03/19 22:56:03.072, [N/A], 93 MiB, 80987 MiB, 27
2026/03/19 22:56:03.072, [N/A], 68 MiB, 95252 MiB, 31
2026/03/19 22:56:03.073, 97 %, 2025 MiB, 93295 MiB, 65
2026/03/19 22:56:03.073, 0 %, 4 MiB, 95317 MiB, 29
2026/03/19 22:56:03.073, 100 %, 61783 MiB, 33538 MiB, 62
2026/03/19 22:57:03.074, [N/A], 27305 MiB, 68016 MiB, 36
2026/03/19 22:57:03.074, [N/A], 93 MiB, 95227 MiB, 32
2026/03/19 22:57:03.075, [N/A], 93 MiB, 80987 MiB, 29
