timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/21 01:22:09.348, [N/A], 27301 MiB, 68019 MiB, 26
2026/03/21 01:22:09.352, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:22:09.356, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:22:09.361, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:22:09.366, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:22:09.371, 23 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:22:09.375, 97 %, 42039 MiB, 53281 MiB, 54
2026/03/21 01:22:09.383, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:23:09.387, [N/A], 29073 MiB, 66247 MiB, 30
2026/03/21 01:23:09.387, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:23:09.388, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:23:09.388, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:23:09.389, [N/A], 58 MiB, 95262 MiB, 21
2026/03/21 01:23:09.389, 26 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:23:09.389, 97 %, 42039 MiB, 53281 MiB, 53
2026/03/21 01:23:09.389, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:24:09.390, [N/A], 27301 MiB, 68019 MiB, 32
2026/03/21 01:24:09.390, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:24:09.391, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:24:09.392, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:24:09.392, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:24:09.393, 26 %, 19107 MiB, 76213 MiB, 28
2026/03/21 01:24:09.393, 96 %, 42039 MiB, 53281 MiB, 54
2026/03/21 01:24:09.393, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:25:09.393, [N/A], 27319 MiB, 68001 MiB, 32
2026/03/21 01:25:09.403, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:25:09.404, [N/A], 87 MiB, 80993 MiB, 19
