timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/21 02:11:53.500, [N/A], 35681 MiB, 59639 MiB, 28
2026/03/21 02:11:53.503, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:11:53.506, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:11:53.509, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:11:53.511, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:11:53.514, 55 %, 24939 MiB, 70381 MiB, 37
2026/03/21 02:11:53.516, 54 %, 42039 MiB, 53281 MiB, 46
2026/03/21 02:11:53.518, 100 %, 89748 MiB, 5572 MiB, 41
2026/03/21 02:12:53.520, [N/A], 42178 MiB, 53143 MiB, 30
2026/03/21 02:12:53.521, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:12:53.522, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:12:53.522, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 02:12:53.523, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:12:53.523, 56 %, 24939 MiB, 70381 MiB, 36
2026/03/21 02:12:53.523, 55 %, 42039 MiB, 53281 MiB, 42
2026/03/21 02:12:53.523, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:13:53.524, [N/A], 43340 MiB, 51981 MiB, 32
2026/03/21 02:13:53.524, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:13:53.525, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:13:53.525, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:13:53.526, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:13:53.526, 60 %, 25573 MiB, 69747 MiB, 38
2026/03/21 02:13:53.526, 97 %, 42039 MiB, 53281 MiB, 44
2026/03/21 02:13:53.527, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 02:14:53.527, [N/A], 42768 MiB, 52553 MiB, 32
2026/03/21 02:14:53.528, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 02:14:53.528, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:14:53.529, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 02:14:53.529, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 02:14:53.530, 60 %, 25771 MiB, 69549 MiB, 39
2026/03/21 02:14:53.530, 97 %, 42039 MiB, 53281 MiB, 52
2026/03/21 02:14:53.530, 100 %, 89748 MiB, 5572 MiB, 43
2026/03/21 02:15:53.531, [N/A], 41528 MiB, 53793 MiB, 32
