timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/20 01:59:37.291, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 01:59:37.292, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 01:59:37.292, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 01:59:37.293, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 01:59:37.293, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 01:59:37.293, 92 %, 13015 MiB, 82305 MiB, 62
2026/03/20 02:00:37.294, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:00:37.294, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:00:37.295, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:00:37.296, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:00:37.296, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:00:37.297, 97 %, 2025 MiB, 93295 MiB, 60
2026/03/20 02:00:37.297, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:00:37.297, 93 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:01:37.298, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:01:37.298, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:01:37.299, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:01:37.300, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:01:37.300, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:01:37.301, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/20 02:01:37.301, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:01:37.301, 95 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:02:37.301, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:02:37.301, [N/A], 93 MiB, 95227 MiB, 32
2026/03/20 02:02:37.302, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:02:37.303, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:02:37.303, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:02:37.304, 97 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:02:37.304, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:02:37.304, 94 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:03:37.305, [N/A], 27305 MiB, 68016 MiB, 35
2026/03/20 02:03:37.305, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:03:37.306, [N/A], 93 MiB, 80987 MiB, 28
2026/03/20 02:03:37.306, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:03:37.307, [N/A], 68 MiB, 95252 MiB, 30
2026/03/20 02:03:37.308, 98 %, 2025 MiB, 93295 MiB, 67
2026/03/20 02:03:37.308, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:03:37.308, 92 %, 13015 MiB, 82305 MiB, 64
2026/03/20 02:04:37.309, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:04:37.309, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:04:37.310, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:04:37.310, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:04:37.311, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:04:37.312, 98 %, 2025 MiB, 93295 MiB, 65
2026/03/20 02:04:37.312, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:04:37.312, 96 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:05:37.312, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:05:37.312, [N/A], 93 MiB, 95227 MiB, 30
2026/03/20 02:05:37.313, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:05:37.314, [N/A], 93 MiB, 80987 MiB, 25
2026/03/20 02:05:37.314, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:05:37.315, 98 %, 2025 MiB, 93295 MiB, 66
2026/03/20 02:05:37.315, 0 %, 4 MiB, 95317 MiB, 27
2026/03/20 02:05:37.315, 94 %, 13015 MiB, 82305 MiB, 63
2026/03/20 02:06:37.316, [N/A], 27305 MiB, 68016 MiB, 34
2026/03/20 02:06:37.316, [N/A], 93 MiB, 95227 MiB, 31
2026/03/20 02:06:37.317, [N/A], 93 MiB, 80987 MiB, 27
2026/03/20 02:06:37.317, [N/A], 93 MiB, 80987 MiB, 26
2026/03/20 02:06:37.318, [N/A], 68 MiB, 95252 MiB, 29
2026/03/20 02:06:37.318, 93 %, 2025 MiB, 93295 MiB, 64
2026/03/20 02:06:37.318, 0 %, 4 MiB, 95317 MiB, 28
2026/03/20 02:06:37.318, 95 %, 13015 MiB, 82305 MiB, 63
