timestamp, utilization.gpu [%], memory.used [MiB], memory.free [MiB], temperature.gpu
2026/03/21 01:22:49.085, [N/A], 27301 MiB, 68019 MiB, 28
2026/03/21 01:22:49.089, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:22:49.091, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:22:49.093, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:22:49.096, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:22:49.098, 24 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:22:49.100, 96 %, 42039 MiB, 53281 MiB, 53
2026/03/21 01:22:49.102, 100 %, 89748 MiB, 5572 MiB, 41
2026/03/21 01:23:49.105, [N/A], 27301 MiB, 68019 MiB, 31
2026/03/21 01:23:49.105, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:23:49.106, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:23:49.106, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:23:49.107, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:23:49.108, 26 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:23:49.108, 96 %, 42039 MiB, 53281 MiB, 54
2026/03/21 01:23:49.108, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:24:49.108, [N/A], 27301 MiB, 68019 MiB, 32
2026/03/21 01:24:49.109, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:24:49.109, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:24:49.110, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:24:49.110, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:24:49.111, 18 %, 19107 MiB, 76213 MiB, 31
2026/03/21 01:24:49.111, 96 %, 42039 MiB, 53281 MiB, 55
2026/03/21 01:24:49.111, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:25:49.112, [N/A], 27301 MiB, 68019 MiB, 32
2026/03/21 01:25:49.113, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:25:49.113, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:25:49.114, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:25:49.115, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:25:49.115, 25 %, 19107 MiB, 76213 MiB, 28
2026/03/21 01:25:49.115, 54 %, 42039 MiB, 53281 MiB, 46
2026/03/21 01:25:49.115, 100 %, 89748 MiB, 5572 MiB, 43
2026/03/21 01:26:49.116, [N/A], 27301 MiB, 68019 MiB, 33
2026/03/21 01:26:49.116, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:26:49.117, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:26:49.118, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:26:49.118, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:26:49.119, 22 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:26:49.119, 57 %, 42039 MiB, 53281 MiB, 42
2026/03/21 01:26:49.119, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:27:49.120, [N/A], 27301 MiB, 68019 MiB, 32
2026/03/21 01:27:49.120, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:27:49.121, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:27:49.121, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:27:49.122, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:27:49.123, 23 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:27:49.123, 97 %, 42039 MiB, 53281 MiB, 46
2026/03/21 01:27:49.123, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:28:49.124, [N/A], 46414 MiB, 48906 MiB, 34
2026/03/21 01:28:49.124, [N/A], 87 MiB, 95234 MiB, 22
2026/03/21 01:28:49.125, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:28:49.125, [N/A], 87 MiB, 80993 MiB, 18
2026/03/21 01:28:49.126, [N/A], 58 MiB, 95262 MiB, 22
2026/03/21 01:28:49.127, 25 %, 19107 MiB, 76213 MiB, 27
2026/03/21 01:28:49.127, 97 %, 42039 MiB, 53281 MiB, 52
2026/03/21 01:28:49.127, 100 %, 89748 MiB, 5572 MiB, 42
2026/03/21 01:29:49.127, [N/A], 47816 MiB, 47505 MiB, 33
2026/03/21 01:29:49.128, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:29:49.129, [N/A], 87 MiB, 80993 MiB, 20
2026/03/21 01:29:49.129, [N/A], 87 MiB, 80993 MiB, 19
2026/03/21 01:29:49.130, [N/A], 58 MiB, 95262 MiB, 23
2026/03/21 01:29:49.130, 25 %, 19107 MiB, 76213 MiB, 28
2026/03/21 01:29:49.130, 97 %, 42039 MiB, 53281 MiB, 54
2026/03/21 01:29:49.131, 100 %, 89748 MiB, 5572 MiB, 43
2026/03/21 01:30:49.131, [N/A], 27301 MiB, 68019 MiB, 34
2026/03/21 01:30:49.132, [N/A], 87 MiB, 95234 MiB, 23
2026/03/21 01:30:49.132, [N/A], 87 MiB, 80993 MiB, 20
